gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	taxonKey	speciesKey	basisOfRecord	institutionCode	identifiedBy	license	recordedBy	lastInterpreted	issue	sex	fertility_status	age	infant(ADDL)	safety	special_needs
1717254707	90088b00-13de-11de-b2e1-b8a03c50a862	558	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia cenotea	SPECIES	Cladonia cenotea (Ach.) Schaer.	Cladonia cenotea (Ach.) Schaer.	Schaerer	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.3836	22.5672	5000.0	2607716	2607716	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.130Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Female	INACTIVE	13.3	 --- 	DANGEROUS	---
1717254706	90088b00-13de-11de-b2e1-b8a03c50a862	3868	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea subfloridana	SPECIES	Usnea subfloridana Stirt.	Usnea subfloridana Stirt.	Stirton	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.5664	22.6605	8000.0	2606023	2606023	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.130Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Male	   ---   	9.3	 --- 	DANGEROUS	---
1717254705	90088b00-13de-11de-b2e1-b8a03c50a862	3867	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea subfloridana	SPECIES	Usnea subfloridana Stirt.	Usnea subfloridana Stirt.	Stirton	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.6323	22.7726	6000.0	2606023	2606023	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.130Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Female	INACTIVE	2.6	 --- 	SAFE	---
1717254704	90088b00-13de-11de-b2e1-b8a03c50a862	3869	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea subfloridana	SPECIES	Usnea subfloridana Stirt.	Usnea subfloridana Stirt.	Stirton	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.3739	22.575	5000.0	2606023	2606023	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.130Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Male	   ---   	4.9	 --- 	SAFE	---
1717254703	90088b00-13de-11de-b2e1-b8a03c50a862	3848	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea hirta	SPECIES	Usnea hirta (L.) Weber ex F.H.Wigg.	Usnea hirta (L.) Weber ex F. H. Wigg.	Weber ex Wiggers F. H.	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.7195	23.2617	8000.0	2606030	2606030	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.130Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Female	INACTIVE	1.0	 --- 	SAFE	---
1717254702	90088b00-13de-11de-b2e1-b8a03c50a862	3879	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea subfloridana	SPECIES	Usnea subfloridana Stirt.	Usnea subfloridana Stirt.	Stirton	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.3704	22.5909	8000.0	2606023	2606023	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.130Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Male	   ---   	3.3	 --- 	DANGEROUS	---
1717254701	90088b00-13de-11de-b2e1-b8a03c50a862	3865	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea subfloridana	SPECIES	Usnea subfloridana Stirt.	Usnea subfloridana Stirt.	Stirton	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.6323	22.7726	6000.0	2606023	2606023	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.130Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Male	   ---   	0.3	INFANT	RELATIVELY_DANGEROUS	---
1717254677	90088b00-13de-11de-b2e1-b8a03c50a862	3889	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	Verrucaria muralis	SPECIES	Verrucaria muralis Ach.	Verrucaria muralis Ach.	Acharius	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.6352	23.0896	8000.0	5259530	5259530	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.164Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Male	   ---   	11.2	 --- 	SAFE	---
1717254676	90088b00-13de-11de-b2e1-b8a03c50a862	3860	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea subfloridana	SPECIES	Usnea subfloridana Stirt.	Usnea subfloridana Stirt.	Stirton	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.6323	22.7726	6000.0	2606023	2606023	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.163Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Male	   ---   	9.3	 --- 	DANGEROUS	---
1717254675	90088b00-13de-11de-b2e1-b8a03c50a862	3880	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea subfloridana	SPECIES	Usnea subfloridana Stirt.	Usnea subfloridana Stirt.	Stirton	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.6808	23.098	8000.0	2606023	2606023	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.163Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Male	   ---   	4.9	 --- 	SAFE	---
1717254674	90088b00-13de-11de-b2e1-b8a03c50a862	3886	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	Verrucaria muralis	SPECIES	Verrucaria muralis Ach.	Verrucaria muralis Ach.	Acharius	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.4777	22.5852	8000.0	5259530	5259530	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.162Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Male	   ---   	4.9	 --- 	DANGEROUS	---
1717254673	90088b00-13de-11de-b2e1-b8a03c50a862	3857	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea subfloridana	SPECIES	Usnea subfloridana Stirt.	Usnea subfloridana Stirt.	Stirton	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.6323	22.7726	6000.0	2606023	2606023	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.162Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Female	ready_for_fertilization	0.2	INFANT	RELATIVELY_DANGEROUS	---
1717254672	90088b00-13de-11de-b2e1-b8a03c50a862	3887	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	Verrucaria muralis	SPECIES	Verrucaria muralis Ach.	Verrucaria muralis Ach.	Acharius	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.739	23.3114	8000.0	5259530	5259530	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.162Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Male	   ---   	0.2	INFANT	DANGEROUS	---
1717254671	90088b00-13de-11de-b2e1-b8a03c50a862	3856	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea subfloridana	SPECIES	Usnea subfloridana Stirt.	Usnea subfloridana Stirt.	Stirton	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.6323	22.7726	6000.0	2606023	2606023	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.162Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Female	INACTIVE	9.7	 --- 	RELATIVELY_DANGEROUS	---
1717254670	90088b00-13de-11de-b2e1-b8a03c50a862	3861	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea subfloridana	SPECIES	Usnea subfloridana Stirt.	Usnea subfloridana Stirt.	Stirton	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.6323	22.7726	6000.0	2606023	2606023	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.162Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Male	   ---   	11.2	 --- 	RELATIVELY_DANGEROUS	---
1717254669	90088b00-13de-11de-b2e1-b8a03c50a862	3858	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea subfloridana	SPECIES	Usnea subfloridana Stirt.	Usnea subfloridana Stirt.	Stirton	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862				2606023	2606023	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.166Z	COORDINATE_UNCERTAINTY_METERS_INVALID;REFERENCES_URI_INVALID	Female	INACTIVE	0.3	INFANT	DANGEROUS	---
1717254668	90088b00-13de-11de-b2e1-b8a03c50a862	3888	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	Verrucaria muralis	SPECIES	Verrucaria muralis Ach.	Verrucaria muralis Ach.	Acharius	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.7238	23.1991	8000.0	5259530	5259530	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.165Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Male	   ---   	0.2	INFANT	RELATIVELY_DANGEROUS	---
1717254667	90088b00-13de-11de-b2e1-b8a03c50a862	3864	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea subfloridana	SPECIES	Usnea subfloridana Stirt.	Usnea subfloridana Stirt.	Stirton	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.6323	22.7726	6000.0	2606023	2606023	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.167Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Male	   ---   	2.6	 --- 	RELATIVELY_DANGEROUS	---
1717254666	90088b00-13de-11de-b2e1-b8a03c50a862	3863	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea subfloridana	SPECIES	Usnea subfloridana Stirt.	Usnea subfloridana Stirt.	Stirton	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.6323	22.7726	6000.0	2606023	2606023	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.165Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Female	ready_for_fertilization	13.6	 --- 	DANGEROUS	---
1717254665	90088b00-13de-11de-b2e1-b8a03c50a862	3881	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea subfloridana	SPECIES	Usnea subfloridana Stirt.	Usnea subfloridana Stirt.	Stirton	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.4688	22.496	8000.0	2606023	2606023	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.165Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Male	   ---   	4.9	 --- 	DANGEROUS	---
1717254664	90088b00-13de-11de-b2e1-b8a03c50a862	3849	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea hirta	SPECIES	Usnea hirta (L.) Weber ex F.H.Wigg.	Usnea hirta (L.) Weber ex F. H. Wigg.	Weber ex Wiggers F. H.	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.4845	22.6993	8000.0	2606030	2606030	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.163Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Male	   ---   	9.3	 --- 	SAFE	---
1717254663	90088b00-13de-11de-b2e1-b8a03c50a862	3850	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea hirta	SPECIES	Usnea hirta (L.) Weber ex F.H.Wigg.	Usnea hirta (L.) Weber ex F. H. Wigg.	Weber ex Wiggers F. H.	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.4845	22.6993	8000.0	2606030	2606030	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.164Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Male	   ---   	13.3	 --- 	DANGEROUS	---
1717254662	90088b00-13de-11de-b2e1-b8a03c50a862	3859	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea subfloridana	SPECIES	Usnea subfloridana Stirt.	Usnea subfloridana Stirt.	Stirton	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.6323	22.7726	6000.0	2606023	2606023	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.164Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Male	   ---   	1.0	 --- 	RELATIVELY_DANGEROUS	---
1717254661	90088b00-13de-11de-b2e1-b8a03c50a862	3874	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea subfloridana	SPECIES	Usnea subfloridana Stirt.	Usnea subfloridana Stirt.	Stirton	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.6323	22.7726	6000.0	2606023	2606023	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.164Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Female	INACTIVE	0.2	INFANT	SAFE	---
1717254660	90088b00-13de-11de-b2e1-b8a03c50a862	3862	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea subfloridana	SPECIES	Usnea subfloridana Stirt.	Usnea subfloridana Stirt.	Stirton	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.6323	22.7726	6000.0	2606023	2606023	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.163Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Male	   ---   	0.8	INFANT	DANGEROUS	---
1717254659	90088b00-13de-11de-b2e1-b8a03c50a862	3885	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	Verrucaria muralis	SPECIES	Verrucaria muralis Ach.	Verrucaria muralis Ach.	Acharius	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.4287	22.5778	2000.0	5259530	5259530	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.161Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Male	   ---   	7.3	 --- 	SAFE	---
1717254658	90088b00-13de-11de-b2e1-b8a03c50a862	3810	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea hirta	SPECIES	Usnea hirta (L.) Weber ex F.H.Wigg.	Usnea hirta (L.) Weber ex F. H. Wigg.	Weber ex Wiggers F. H.	PL	Biebrza National Park and its environs.	83af6510-a704-11dc-80be-b8a03c50a862	53.3492	22.5915	1000.0	2606030	2606030	HUMAN_OBSERVATION	UoB-IB	K. Kolanko	CC_BY_NC_4_0	K. Kolanko	2020-02-10T13:02:32.160Z	GEODETIC_DATUM_ASSUMED_WGS84;REFERENCES_URI_INVALID	Male	   ---   	9.3	 --- 	SAFE	---
