gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	publishingOrgKey	decimalLatitude	decimalLongitude	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	dateIdentified	license	recordedBy	lastInterpreted	issue	sex	fertility_status	age	infant(ADDL)	safety	special_needs
1425143365	27f86b34-76dc-485d-a833-b158c6d79bf4	AMA_2327	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Phacochoerus	Phacochoerus africanus	SPECIES	Phacochoerus africanus (Gmelin, 1788)	Phacochoerus africanus	Gmelin	BJ	W Reserve of Biosphere	Alibori	616e379f-90ed-4c21-9793-8e20f982e9d1	12.01664	2.68185	2015-10-24T00:00:00	24	10	2015	2441212	2441212	HUMAN_OBSERVATION	DGEFC	SSEWPATR_2015	SSEPWATR_2015_431	1788-01-01T00:00:00	CC_BY_4_0	AMAHOWE O. Isidore; CHABI-YAOURE Faï;  GADO Kindo; SINADOUWIROU Theophile	2020-02-10T11:29:24.165Z	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID	Male	   ---   	5.9	 --- 	SAFE	[]
1425143364	27f86b34-76dc-485d-a833-b158c6d79bf4	AMA_2325	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Phacochoerus	Phacochoerus africanus	SPECIES	Phacochoerus africanus (Gmelin, 1788)	Phacochoerus africanus	Gmelin	BJ	W Reserve of Biosphere	Alibori	616e379f-90ed-4c21-9793-8e20f982e9d1	12.09418	2.81065	2015-10-18T00:00:00	18	10	2015	2441212	2441212	HUMAN_OBSERVATION	DGEFC	SSEWPATR_2015	SSEPWATR_2015_430	1788-01-01T00:00:00	CC_BY_4_0	AMAHOWE O. Isidore; CHABI-YAOURE Faï;  GADO Kindo; SINADOUWIROU Theophile	2020-02-10T11:29:24.165Z	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID	Male	   ---   	4.4	 --- 	SAFE	[]
1425143363	27f86b34-76dc-485d-a833-b158c6d79bf4	AMA_2330	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Phacochoerus	Phacochoerus africanus	SPECIES	Phacochoerus africanus (Gmelin, 1788)	Phacochoerus africanus	Gmelin	BJ	W Reserve of Biosphere	Alibori	616e379f-90ed-4c21-9793-8e20f982e9d1	11.60971	3.01667	2015-10-08T00:00:00	8	10	2015	2441212	2441212	HUMAN_OBSERVATION	DGEFC	SSEWPATR_2015	SSEWPATR_2015_432	1788-01-01T00:00:00	CC_BY_4_0	AMAHOWE O. Isidore; CHABI-YAOURE Faï;  GADO Kindo; SINADOUWIROU Theophile	2020-02-10T11:29:24.165Z	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID	Male	   ---   	0.1	INFANT	SAFE	['Newborn']
1425143362	27f86b34-76dc-485d-a833-b158c6d79bf4	AMA_2329	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Phacochoerus	Phacochoerus africanus	SPECIES	Phacochoerus africanus (Gmelin, 1788)	Phacochoerus africanus	Gmelin	BJ	W Reserve of Biosphere	Alibori	616e379f-90ed-4c21-9793-8e20f982e9d1	11.62543	3.01343	2015-10-07T00:00:00	7	10	2015	2441212	2441212	HUMAN_OBSERVATION	DGEFC	SSEWPATR_2015	SSEPWATR_2015_432	1788-01-01T00:00:00	CC_BY_4_0	AMAHOWE O. Isidore; CHABI-YAOURE Faï;  GADO Kindo; SINADOUWIROU Theophile	2020-02-10T11:29:24.165Z	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID	Male	   ---   	13.2	 --- 	SAFE	[]
1425143361	27f86b34-76dc-485d-a833-b158c6d79bf4	AMA_2337	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Chlorocebus	Chlorocebus aethiops	SPECIES	Chlorocebus aethiops (Linnaeus, 1758)	Chlorocebus aethiops	Linnaeus	BJ	W Reserve of Biosphere	Alibori	616e379f-90ed-4c21-9793-8e20f982e9d1	11.5363	3.06645	2015-07-13T00:00:00	13	7	2015	2436566	2436566	HUMAN_OBSERVATION	DGEFC	SSEWPATR_2016	SSEWPATR_2015_436	1759-01-01T00:00:00	CC_BY_4_0	AMAHOWE O. Isidore; CHABI-YAOURE Faï;  GADO Kindo; SINADOUWIROU Theophile	2020-02-10T11:29:24.166Z	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID	Female	INACTIVE	4.4	 --- 	RELATIVELY_DANGEROUS	[]
1425143360	27f86b34-76dc-485d-a833-b158c6d79bf4	AMA_2332	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Phacochoerus	Phacochoerus africanus	SPECIES	Phacochoerus africanus (Gmelin, 1788)	Phacochoerus africanus	Gmelin	BJ	W Reserve of Biosphere	Alibori	616e379f-90ed-4c21-9793-8e20f982e9d1	12.00934	2.56653	2015-12-23T00:00:00	23	12	2015	2441212	2441212	HUMAN_OBSERVATION	DGEFC	SSEWPATR_2015	SSEWPATR_2015_433	1788-01-01T00:00:00	CC_BY_4_0	AMAHOWE O. Isidore; CHABI-YAOURE Faï;  GADO Kindo; SINADOUWIROU Theophile	2020-02-10T11:29:24.167Z	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID	Male	   ---   	2.1	 --- 	SAFE	[]
1425143359	27f86b34-76dc-485d-a833-b158c6d79bf4	AMA_2313	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Phacochoerus	Phacochoerus africanus	SPECIES	Phacochoerus africanus (Gmelin, 1788)	Phacochoerus africanus	Gmelin	BJ	W Reserve of Biosphere	Alibori	616e379f-90ed-4c21-9793-8e20f982e9d1	11.5005	2.76327	2015-08-31T00:00:00	31	8	2015	2441212	2441212	HUMAN_OBSERVATION	DGEFC	SSEWPATR_2015	SSEPWATR_2015_424	1788-01-01T00:00:00	CC_BY_4_0	AMAHOWE O. Isidore; CHABI-YAOURE Faï;  GADO Kindo; SINADOUWIROU Theophile	2020-02-10T11:29:24.167Z	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID	Male	   ---   	2.1	 --- 	SAFE	[]
1425143358	27f86b34-76dc-485d-a833-b158c6d79bf4	AMA_2336	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Chlorocebus	Chlorocebus aethiops	SPECIES	Chlorocebus aethiops (Linnaeus, 1758)	Chlorocebus aethiops	Linnaeus	BJ	W Reserve of Biosphere	Alibori	616e379f-90ed-4c21-9793-8e20f982e9d1	11.5311	3.06685	2015-07-13T00:00:00	13	7	2015	2436566	2436566	HUMAN_OBSERVATION	DGEFC	SSEWPATR_2015	SSEWPATR_2015_435	1758-01-01T00:00:00	CC_BY_4_0	AMAHOWE O. Isidore; CHABI-YAOURE Faï;  GADO Kindo; SINADOUWIROU Theophile	2020-02-10T11:29:24.166Z	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID	Male	   ---   	1.4	 --- 	RELATIVELY_DANGEROUS	[]
1425143357	27f86b34-76dc-485d-a833-b158c6d79bf4	AMA_2334	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Phacochoerus	Phacochoerus africanus	SPECIES	Phacochoerus africanus (Gmelin, 1788)	Phacochoerus africanus	Gmelin	BJ	W Reserve of Biosphere	Alibori	616e379f-90ed-4c21-9793-8e20f982e9d1	11.98738	2.91708	2015-12-29T00:00:00	29	12	2015	2441212	2441212	HUMAN_OBSERVATION	DGEFC	SSEWPATR_2015	SSEWPATR_2015_434	1788-01-01T00:00:00	CC_BY_4_0	AMAHOWE O. Isidore; CHABI-YAOURE Faï;  GADO Kindo; SINADOUWIROU Theophile	2020-02-10T11:29:24.167Z	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID	Female	INACTIVE	13.2	 --- 	SAFE	[]
1425143356	27f86b34-76dc-485d-a833-b158c6d79bf4	AMA_2335	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Phacochoerus	Phacochoerus africanus	SPECIES	Phacochoerus africanus (Gmelin, 1788)	Phacochoerus africanus	Gmelin	BJ	W Reserve of Biosphere	Alibori	616e379f-90ed-4c21-9793-8e20f982e9d1	11.99966	2.96026	2015-12-30T00:00:00	30	12	2015	2441212	2441212	HUMAN_OBSERVATION	DGEFC	SSEWPATR_2015	SSEPWATR_2015_435	1788-01-01T00:00:00	CC_BY_4_0	AMAHOWE O. Isidore; CHABI-YAOURE Faï;  GADO Kindo; SINADOUWIROU Theophile	2020-02-10T11:29:24.167Z	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID	Male	   ---   	3.3	 --- 	SAFE	[]
